Time,ETH total supply,Price
2017-04-08,9.052666034323E7,45.16585922
2017-04-09,9.055704253073E7,43.21027756
2017-04-10,9.058727753073E7,43.20684814
2017-04-11,9.061770815573E7,44.11178589
2017-04-12,9.064786924948E7,43.5552063
2017-04-13,9.067801471823E7,48.4173317
2017-04-14,9.070890331198E7,48.83977509
2017-04-15,9.073895659323E7,47.44621277
2017-04-16,9.076947190573E7,48.78649902
2017-04-17,9.080009878073E7,48.3175087
2017-04-18,9.083067253073E7,50.59074783
2017-04-19,9.086074487448E7,50.81941223
2017-04-20,9.089072174948E7,48.48793793
2017-04-21,9.092111674948E7,49.44398117
2017-04-22,9.095118253073E7,48.68815231
