Time,ETH number of daily active addresses,Price
2017-01-13,19409,9.74505711
2017-01-14,16979,9.6504097
2017-01-15,16877,9.8756094
2017-01-16,15364,9.84827423
2017-01-17,16686,10.10851097
2017-01-18,18600,10.13010597
2017-01-19,16636,10.26816368
2017-01-20,18664,10.58528042
2017-01-21,16632,10.85219193
2017-01-22,16204,10.72018909
2017-01-23,17067,10.72600555
2017-01-24,17853,10.71712017
2017-01-25,16835,10.5147543
2017-01-26,16852,10.57678699
2017-01-27,17171,10.48508549
2017-01-28,16976,10.51917839
2017-01-29,15681,10.49586296
2017-01-30,17095,10.50073338
2017-01-31,15974,10.56471634
2017-02-01,16930,10.62877083
2017-02-02,16688,10.67805576
2017-02-03,15351,10.87989998
2017-02-04,18298,11.3878479
2017-02-05,17448,11.3610239
2017-02-06,16341,11.39671993
2017-02-07,17004,11.46568871
2017-02-08,17559,11.34819221
2017-02-09,16648,11.54552555
2017-02-10,17534,11.06329632
2017-02-11,17470,11.27564049
2017-02-12,17353,11.31136131
2017-02-13,18773,11.20249748
2017-02-14,17479,12.58078289
2017-02-15,20277,12.81957531
2017-02-16,19661,12.60032368
2017-02-17,17255,12.78670406
2017-02-18,19649,12.7598362
2017-02-19,17908,12.80346584
2017-02-20,18212,12.86492729
2017-02-21,19199,12.48175907
2017-02-22,17952,12.70765495
2017-02-23,19673,12.77905083
2017-02-24,18823,13.0295639
2017-02-25,19730,13.61951256
2017-02-26,18529,13.46938324
2017-02-27,19605,14.63193226
2017-02-28,22824,15.80909538
2017-03-01,25386,15.73847675
2017-03-02,30211,18.7517395
2017-03-03,29281,18.50421143
2017-03-04,25412,19.98473167
2017-03-05,21853,18.85466194
2017-03-06,25049,19.22690392
2017-03-07,22346,19.42888832
2017-03-08,21087,18.37753296
2017-03-09,25783,17.54300308
2017-03-10,24192,18.28123283
2017-03-11,25286,19.06263924
2017-03-12,26334,21.85354805
2017-03-13,32418,25.04587555
2017-03-14,32118,28.24926949
2017-03-15,30380,30.52957153
2017-03-16,44830,40.88731766
2017-03-17,44790,46.54584885
2017-03-18,37382,36.93608093
2017-03-19,34005,39.4142952
2017-03-20,32010,44.19563293
2017-03-21,33227,44.21334076
2017-03-22,33145,39.89975739
2017-03-23,30423,42.05825806
2017-03-24,35243,47.57904434
2017-03-25,36538,49.47833252
2017-03-26,31817,49.62591171
2017-03-27,36246,50.76028824
2017-03-28,33158,49.85445023
2017-03-29,34604,52.64440155
2017-03-30,34170,53.08503342
2017-03-31,49584,50.63747025
2017-04-01,36318,50.14421844
2017-04-02,33376,49.48337173
2017-04-03,44316,44.73745728
2017-04-04,38685,45.10642242
2017-04-05,36661,45.77088165
2017-04-06,38068,44.74009705
2017-04-07,40037,42.53973389
2017-04-08,32093,45.16585922
2017-04-09,31720,43.21027756
2017-04-10,31093,43.20684814
2017-04-11,31718,44.11178589
2017-04-12,33090,43.5552063
2017-04-13,37637,48.4173317
2017-04-14,34281,48.83977509
2017-04-15,34113,47.44621277
