Time,ETH mining difficulty,Price
2017-03-01,1.5439853295251303E14,15.73847675
2017-03-02,1.5174438891273984E14,18.7517395
2017-03-03,1.5773957954600706E14,18.50421143
2017-03-04,1.597827096812018E14,19.98473167
2017-03-05,1.6164704040571903E14,18.85466194
2017-03-06,1.6555161438162E14,19.22690392
2017-03-07,1.66860275419442E14,19.42888832
2017-03-08,1.6714254405014862E14,18.37753296
2017-03-09,1.742474777035423E14,17.54300308
2017-03-10,1.732185430551383E14,18.28123283
2017-03-11,1.742472373518004E14,19.06263924
2017-03-12,1.778917359421076E14,21.85354805
2017-03-13,1.7813386224957697E14,25.04587555
2017-03-14,1.7996610339262244E14,28.24926949
2017-03-15,1.824084196293812E14,30.52957153
2017-03-16,1.8604928932021675E14,40.88731766
2017-03-17,1.8974162240155525E14,46.54584885
2017-03-18,1.9787297666129872E14,36.93608093
2017-03-19,1.9297231593654334E14,39.4142952
2017-03-20,1.9440254140483956E14,44.19563293
2017-03-21,2.0197171360591416E14,44.21334076
2017-03-22,1.9916287953747688E14,39.89975739
2017-03-23,2.090991423726404E14,42.05825806
2017-03-24,2.101338887240001E14,47.57904434
2017-03-25,2.1026871033680584E14,49.47833252
2017-03-26,2.1776016100133484E14,49.62591171
2017-03-27,2.28897233878227E14,50.76028824
2017-03-28,2.3172750753537475E14,49.85445023
2017-03-29,2.309225776842677E14,52.64440155
2017-03-30,2.3477058040853672E14,53.08503342
2017-03-31,2.3713804582448472E14,50.63747025
2017-04-01,2.4138502936914672E14,50.14421844
2017-04-02,2.4153356659906706E14,49.48337173
2017-04-03,2.2653640180220844E14,44.73745728
2017-04-04,2.3950707602740272E14,45.10642242
2017-04-05,2.447400016399729E14,45.77088165
2017-04-06,2.480283269164773E14,44.74009705
2017-04-07,2.504280738413455E14,42.53973389
2017-04-08,2.5027658431176644E14,45.16585922
2017-04-09,2.5147434189473006E14,43.21027756
2017-04-10,2.5782019456859722E14,43.20684814
2017-04-11,2.5797595041647838E14,44.11178589
2017-04-12,2.6087487597556503E14,43.5552063
