Time,ETH Gas price,Price
2018-03-28,1.2728959033975753E-8,451.23880005
2018-03-29,1.2679389436858568E-8,441.78762817
2018-03-30,1.1363703427322584E-8,378.60897827
2018-03-31,8.681962218345384E-9,403.10812378
2018-04-01,7.854654369431108E-9,364.76593018
2018-04-02,8.775194984468339E-9,391.7276001
2018-04-03,9.500442468991159E-9,406.29595947
2018-04-04,7.45301601432592E-9,404.4602356
2018-04-05,1.1847726262959636E-8,378.5619812
2018-04-06,9.674266175249489E-9,379.6869812
2018-04-07,7.124490696361211E-9,381.07391357
2018-04-08,7.198348160542623E-9,401.61642456
2018-04-09,8.582055530444283E-9,396.41854858
2018-04-10,8.220725139913117E-9,400.10852051
2018-04-11,8.898210492467626E-9,420.70452881
2018-04-12,9.518859891759513E-9,463.97998047
2018-04-13,1.0395112178249093E-8,514.11553955
2018-04-14,9.477925046235692E-9,506.67218018
2018-04-15,8.441304616729776E-9,510.55157471
2018-04-16,7.779430430805054E-9,504.92443848
2018-04-17,8.549888664175486E-9,507.29470825
2018-04-18,1.0186904172005682E-8,506.82980347
2018-04-19,1.0401248256824411E-8,545.71136475
2018-04-20,1.013853828907366E-8,585.83795166
2018-04-21,9.439800339408264E-9,607.55621338
2018-04-22,8.469884264138134E-9,632.79296875
2018-04-23,9.543618381158303E-9,644.73077393
2018-04-24,1.1291117787737598E-8,667.34545898
2018-04-25,1.1598846986884186E-8,672.1696167
2018-04-26,1.1669265147267992E-8,618.38543701
2018-04-27,1.1906436741782801E-8,673.49182129
2018-04-28,1.2132239175194935E-8,666.2177124
2018-04-29,1.5019176678391563E-8,681.65808105
2018-04-30,1.4209481191798989E-8,683.4161377
2018-05-01,1.199995575692751E-8,644.34356689
2018-05-02,1.1624160624418743E-8,682.49395752
2018-05-03,1.3006107702779757E-8,746.64105225
2018-05-04,1.3395029772151575E-8,771.74206543
2018-05-05,1.1750247053440882E-8,819.67333984
2018-05-06,9.531523336930455E-9,825.15466309
2018-05-07,1.0185392450270417E-8,756.71264648
2018-05-08,1.2597344885370142E-8,737.20391846
2018-05-09,1.115332325595226E-8,724.54400635
2018-05-10,1.6781141941629473E-8,762.02600098
2018-05-11,1.7332258192844288E-8,731.71264648
2018-05-12,1.3750060807907589E-8,679.3951416
2018-05-13,1.1297664508719745E-8,727.16363525
2018-05-14,1.5350790547487715E-8,702.7086792
2018-05-15,1.6150645133047114E-8,718.53155518
2018-05-16,1.607848287269063E-8,685.74499512
2018-05-17,1.885771023274524E-8,707.81286621
2018-05-18,1.785019147238553E-8,679.48406982
2018-05-19,1.7871392564046738E-8,695.66363525
2018-05-20,1.4345157645366052E-8,713.50311279
2018-05-21,1.5336470660346694E-8,713.80505371
2018-05-22,1.7849629801437923E-8,683.32940674
2018-05-23,1.9379067338297686E-8,603.68988037
2018-05-24,1.7730196930551385E-8,599.28314209
2018-05-25,1.712957699978853E-8,602.76623535
2018-05-26,1.5063810050071937E-8,604.77606201
2018-05-27,1.318940940444385E-8,573.9463501
2018-05-28,1.8504270583772372E-8,533.34875488
2018-05-29,1.8977673922368122E-8,527.29974365
2018-05-30,2.0175181761219767E-8,552.78033447
