Time,ETH market cap,Price
2019-04-05,1.6671088448447252E10,157.96895157
2019-04-06,1.732587675715207E10,164.15215602
2019-04-07,1.767285801522052E10,167.41791427
2019-04-08,1.9159207895685318E10,181.47476599
2019-04-09,1.866380045385702E10,176.75935781
2019-04-10,1.9003665634955498E10,179.95481499
2019-04-11,1.8051973076921864E10,170.92096153
2019-04-12,1.7387477707343952E10,164.60809741
2019-04-13,1.753947957887824E10,166.02566469
2019-04-14,1.726023166172442E10,163.36104794
2019-04-15,1.774718505523633E10,167.94815433
2019-04-16,1.7085810872463093E10,161.6683869
2019-04-17,1.7628731841009468E10,166.78417448
2019-04-18,1.8225494748765633E10,172.40799497
2019-04-19,1.828414231563162E10,172.94030323
2019-04-20,1.8336859482706978E10,173.41674371
2019-04-21,1.788900684225024E10,169.15920588
2019-04-22,1.7846016297515427E10,168.73080473
2019-04-23,1.8232803994742527E10,172.36556919
2019-04-24,1.7471119591833275E10,165.14392855
2019-04-25,1.740064078610911E10,164.45659778
2019-04-26,1.6537399048571278E10,156.27757254
2019-04-27,1.6592090772297428E10,156.7740696
2019-04-28,1.6773163736545723E10,158.46459193
2019-04-29,1.6316902148232481E10,154.13417146
2019-04-30,1.6912488798906792E10,159.73955992
2019-05-01,1.7031719225910639E10,160.84499421
2019-05-02,1.704600508180354E10,160.95919325
2019-05-03,1.7232906864192104E10,162.70316199
2019-05-04,1.719045925703896E10,162.28141439
2019-05-05,1.7313956260021263E10,163.42616626
2019-05-06,1.7105167509353159E10,161.43477238
2019-05-07,1.834644832962589E10,173.12724369
2019-05-08,1.7953059475527687E10,169.39350477
2019-05-09,1.789409170517462E10,168.8154455
2019-05-10,1.83183341136514E10,172.79554142
2019-05-11,1.8743475101081238E10,176.78295696
2019-05-12,2.0473448141113255E10,193.07480365
2019-05-13,2.1349655701151608E10,201.3120468
2019-05-14,2.191870097955479E10,206.6510451
2019-05-15,2.5023968245787125E10,235.8972991
2019-05-16,2.903097631136219E10,273.63561907
2019-05-17,2.451731155550116E10,231.06130806
2019-05-18,2.571872064834355E10,242.35294916
2019-05-19,2.7057270409893673E10,254.93370101
2019-05-20,2.6251574066277283E10,247.31109249
2019-05-21,2.6693808107351208E10,251.44507282
2019-05-22,2.7089347266147926E10,255.13805145
2019-05-23,2.585512746267421E10,243.48263594
2019-05-24,2.693125557878917E10,253.58425432
2019-05-25,2.6763307490509953E10,251.97048299
2019-05-26,2.6496759882965008E10,249.42906149
2019-05-27,2.8965723796212875E10,272.6353354
2019-05-28,2.877494790290998E10,270.80549798
2019-05-29,2.86083670284629E10,269.20298445
