Time,LTC total addresses,Price
2014-03-01,3618115,13.22712803
2014-03-02,3628520,13.65520573
2014-03-03,3640737,12.77824688
2014-03-04,3658894,14.28829479
2014-03-05,3674116,16.99282265
2014-03-06,3687135,16.37731361
2014-03-07,3699273,16.48243523
2014-03-08,3710498,15.85789776
2014-03-09,3721480,15.40605164
2014-03-10,3731923,15.98194408
2014-03-11,3742159,16.00627327
2014-03-12,3754886,16.10233498
2014-03-13,3766352,17.16038132
2014-03-14,3777377,16.9979496
2014-03-15,3788974,16.6016674
2014-03-16,3801325,16.89461327
2014-03-17,3813576,17.34573174
2014-03-18,3830235,17.29459
2014-03-19,3851988,19.45343399
2014-03-20,3866030,17.16661072
2014-03-21,3879678,16.40228844
2014-03-22,3890506,15.63930225
2014-03-23,3900796,15.71037388
2014-03-24,3912268,15.29675198
2014-03-25,3923440,16.22605133
2014-03-26,3935575,16.29013062
2014-03-27,3948065,16.28004646
2014-03-28,3960072,12.66046524
2014-03-29,3969606,13.9084549
2014-03-30,3978990,13.44649887
2014-03-31,3990233,13.14605522
2014-04-01,4000786,12.77492714
2014-04-02,4011745,13.09333038
2014-04-03,4024177,11.26337433
2014-04-04,4033995,11.06604385
2014-04-05,4042872,11.00299263
2014-04-06,4050863,11.17957497
2014-04-07,4059872,11.6559267
2014-04-08,4068050,11.21057606
2014-04-09,4076857,11.37990284
2014-04-10,4086241,11.18763638
2014-04-11,4096837,8.42459393
2014-04-12,4105340,10.90500164
2014-04-13,4113597,10.6648283
2014-04-14,4123101,10.38670635
2014-04-15,4133445,11.46351147
2014-04-16,4144491,13.30229473
2014-04-17,4153792,13.422472
2014-04-18,4162512,12.46046829
2014-04-19,4170542,12.04557514
2014-04-20,4178558,12.8550024
2014-04-21,4186580,12.56046772
2014-04-22,4194214,12.49682999
2014-04-23,4201522,12.03858757
2014-04-24,4208578,12.13743019
2014-04-25,4216728,12.53533649
2014-04-26,4223604,10.80757427
2014-04-27,4230295,10.56065464
2014-04-28,4237770,9.7909956
2014-04-29,4244350,10.1224966
2014-04-30,4252257,10.40315914
2014-05-01,4258643,10.92730045
2014-05-02,4264499,11.13124943
2014-05-03,4270315,10.51679802
2014-05-04,4276034,10.30080795
2014-05-05,4281967,10.31131363
2014-05-06,4288253,10.20509052
2014-05-07,4294093,10.34142017
2014-05-08,4300316,10.50908184
2014-05-09,4306161,10.42281914
2014-05-10,4311738,10.7617569
2014-05-11,4318127,10.71716881
2014-05-12,4324825,10.33806038
2014-05-13,4330942,10.41868496
2014-05-14,4336319,10.40582371
2014-05-15,4342254,10.43307686
2014-05-16,4347731,10.48279476
2014-05-17,4352302,10.44066143
2014-05-18,4356654,10.34725761
2014-05-19,4363494,10.34333801
2014-05-20,4369295,10.30385303
2014-05-21,4376099,10.60335159
2014-05-22,4383628,10.57919121
2014-05-23,4391286,10.64639473
2014-05-24,4396936,11.20851517
2014-05-25,4402781,11.12306404
2014-05-26,4409060,11.57830811
2014-05-27,4415566,11.54675961
2014-05-28,4422265,11.16233635
2014-05-29,4427996,11.01273251
2014-05-30,4434146,10.7815752
2014-05-31,4439660,11.25792408
2014-06-01,4445772,10.92648506
2014-06-02,4452473,11.14717388
2014-06-03,4458502,11.35939598
2014-06-04,4464600,11.47022247
2014-06-05,4470421,11.0392952
2014-06-06,4475509,11.29538441
2014-06-07,4479938,11.19596767
