Date,YF_Op,YF_Hi,YF_Lo,YF_Cls,YF_Vol,ES_AvgTransFee,ES_AvgGasPrc,ES_BlkCnt,ES_BlkSz,ES_BlkTm,ES_ActAdd,ES_DepCon,ES_GasLmt,ES_GasUsd,ES_VerCon,OL_MktCap,OL_NewAdd,OL_ChnTrans,OL_ChnVol,D_AvgPrc
2021-11-27,4042.9990234375,4187.68408203125,4033.513916015625,4096.912109375,16515693874,41.04,126864537780,6386,70859,13.35,512634,10497,29972756,98527637239,225,484332971341.9452,137075.0,1233097,2398577.681316077,4090.2772827148438
2021-11-28,4101.64892578125,4297.91650390625,3989.969970703125,4294.45361328125,15953126340,43.33,119117976662,6256,71615,13.57,488740,9695,29973463,96546465274,222,478415823722.1928,127483.0,1177110,1856512.2130373127,4170.997253417969
2021-11-29,4296.94677734375,4460.8486328125,4284.5048828125,4445.10498046875,19086475837,43.49,128925912913,6207,71808,13.7,555014,14926,29971837,95710323947,279,511141827894.2244,135694.0,1183748,2556613.541802303,4371.851318359375
2021-11-30,4447.76806640625,4753.26611328125,4358.07421875,4631.47900390625,28626354111,53.89,142424571983,6259,70186,13.63,578867,13582,29972882,96588497458,285,518557000720.6952,158114.0,1278672,3819005.4318462014,4547.6468505859375
2021-12-01,4623.6796875,4780.732421875,4530.2724609375,4586.990234375,27634826695,51.21,144590880517,6237,68926,13.71,534018,14505,29967837,96173608919,271,560572855164.6228,149306.0,1227887,4399506.096941194,4630.418701171875
2021-12-02,4586.3330078125,4628.919921875,4441.5078125,4511.30224609375,21502671027,41.64,119051816470,6246,69738,13.61,564304,15072,29969654,96347004529,245,535930909260.9996,153254.0,1264706,3375245.834020912,4542.0157470703125
2021-12-03,4514.35595703125,4647.2890625,4100.1455078125,4220.7060546875,25879591528,37.75,114444614457,6294,66293,13.57,522866,12889,29971525,96999612609,270,536451858368.40735,150188.0,1226773,2882251.7305406784,4370.6241455078125
2021-12-04,4227.76220703125,4242.7255859375,3525.494140625,4119.58740234375,38478999182,47.93,155782569275,6177,70232,13.8,508986,12585,29987448,95181800981,147,455895240508.1472,131201.0,1250170,5977518.639127374,4028.892333984375
2021-12-05,4119.62890625,4246.92333984375,4040.217529296875,4198.32275390625,25533062707,30.96,109899112649,6228,69488,13.68,773457,24524,29989209,96094328220,165,492677093928.2264,125772.0,1239765,3172650.0554893045,4151.273132324219
2021-12-06,4199.0,4375.5205078125,3930.806640625,4358.7373046875,28229518513,37.63,112816821427,6273,67603,13.61,537765,18666,29988251,96719652729,250,478040974482.3962,123221.0,1377437,4085661.95807079,4216.01611328125
2021-12-07,4358.5869140625,4428.58935546875,4264.32373046875,4315.0615234375,22366213354,33.23,98725355074,6266,65338,13.62,548943,18815,29988936,96622508037,309,511715212442.9047,143350.0,1206379,3806234.95653342,4341.640380859375
2021-12-08,4311.67431640625,4453.1123046875,4234.53759765625,4439.35791015625,18704315119,27.61,85591237374,6225,69761,13.66,596449,18139,29990791,96069191326,271,512512714831.6098,140245.0,1298785,3235758.1323307906,4359.6705322265625
2021-12-09,4433.02490234375,4482.31396484375,4078.84423828125,4119.81591796875,22296131874,27.86,88232234277,6282,68557,13.54,553764,14074,29992099,96888034495,277,515669871643.3781,131391.0,1275391,3284133.1591431834,4278.499755859375
2021-12-10,4113.58837890625,4227.11181640625,3897.767578125,3908.49609375,28014595631,29.95,89030753907,6427,67807,13.26,566374,17830,29993415,99206690854,307,474787377140.82416,136260.0,1242652,3254817.27011226,4036.740966796875
2021-12-11,3909.667724609375,4095.6484375,3846.054443359375,4084.452392578125,19131502454,26.35,78350083431,6488,66999,13.14,532395,16536,30037829,100289873438,196,468027121072.5324,126743.0,1209496,2847791.2576143704,3983.9557495117188
2021-12-12,4084.811279296875,4173.60888671875,3993.055908203125,4134.453125,14057603914,22.97,65953683938,6523,66346,13.12,550244,15931,30033664,100783092953,207,477044035785.8381,125359.0,1165519,1499716.425688269,4096.4822998046875
2021-12-13,4136.35986328125,4145.955078125,3680.609130859375,3784.226806640625,23999841386,27.05,88677536111,6486,72439,13.17,560925,16996,30031733,100242813459,299,468949833123.8033,136297.0,1229485,2849058.8903497965,3936.7877197265625
2021-12-14,3782.82275390625,3866.6337890625,3700.104736328125,3745.4404296875,23836759957,25.4,83572369835,6391,71392,13.29,560573,23633,30035058,98661297954,332,444505364174.94586,140713.0,1199439,4661436.715835541,3773.7504272460938
2021-12-15,3862.25146484375,4086.372802734375,3664.719970703125,4018.388671875,26411188833,29.2,92325564544,6478,69996,13.18,558270,14233,30032732,100002585601,316,454699131633.4587,141216.0,1266630,2830463.53815884,3907.9332275390625
2021-12-16,4020.4150390625,4110.36865234375,3956.05712890625,3962.4697265625,19825531254,35.7,101523194423,6397,64166,13.32,549496,18491,30034707,98878029798,304,472094520878.2247,135041.0,1245432,3404659.456960581,4012.32763671875
2021-12-17,3959.012451171875,3992.79248046875,3711.424560546875,3879.486572265625,23143541098,30.82,113247836692,6468,73499,13.18,570955,13998,30036635,99899533626,333,455657542507.7648,125762.0,1146031,3100087.4221891714,3885.6790161132812
2021-12-18,3880.29150390625,3993.829833984375,3774.614990234375,3960.860107421875,19530895889,23.08,68559014804,6508,75495,13.12,514295,17005,30035105,100499502434,200,457844096055.4664,121382.0,1226880,2695991.936348566,3902.3991088867188
