Date,Open,High,Low,Close,Adj Close,Volume,BTC total supply,BTC market cap,BTC average daily block size,BTC average computing power of the entire network,BTC average daily transaction fee,BTC mining difficulty,BTC number of daily active addresses,Number of new addresses added per day on BTC,BTC total addresses,BTC number of daily transactions on the chain,BTC full node data size,BTC daily transaction volume on the chain
2019-04-27,5279.47119140625,5310.75,5233.6357421875,5268.291015625,5268.291015625,13111274675,17668737.5,93084051873.8706,1185349.9870967742,4.645988745013121e+19,0.00016692329512139458,6353030562983.983,687837.0,356220,504710564,398741,216051.094392,639454.1050193401
2019-04-28,5271.74658203125,5326.23193359375,5255.68359375,5285.13916015625,5285.13916015625,12819992056,17670387.5,93390454266.61308,1108923.7727272727,4.481640135489154e+19,0.00013172898257917605,6353030562983.983,545041.0,284472,504995036,357905,216197.47233,530979.07672721
2019-04-29,5284.8583984375,5311.27490234375,5216.48779296875,5247.3525390625,5247.3525390625,13735490672,17672512.5,92733903310.16858,1047481.7764705884,4.6293721733618885e+19,0.0001798941244365214,6353030562983.983,721174.0,349381,505344417,352276,216375.544232,684340.17536749
2019-04-30,5247.72607421875,5363.25732421875,5224.18994140625,5350.7265625,5350.7265625,13878964574,17674362.5,94570683275.54988,1263998.0202702703,4.787117515712146e+19,0.0002194502629817076,6353030562983.983,790062.0,392121,505736538,352496,216562.615939,923867.36054465
2019-05-01,5350.91455078125,5418.00390625,5347.64599609375,5402.697265625,5402.697265625,13679528236,17676412.5,95500302387.58636,1205657.4024390243,4.801264984931073e+19,0.00019384008676895807,6353030562983.983,858076.0,421207,506157745,408441,216760.343753,768942.65973877
2019-05-02,5402.4228515625,5522.2626953125,5394.21728515625,5505.28369140625,5505.28369140625,14644460907,17678575.0,97325570287.48454,1082180.6416184972,4.9793919054415135e+19,0.0001274156432528202,6353030562983.983,709647.0,372868,506530613,445890,216947.561004,687995.42282863
2019-05-03,5505.55224609375,5865.8818359375,5490.20166015625,5768.28955078125,5768.28955078125,18720780006,17680687.5,101987322413.48969,1186261.7573964498,5.022169795865991e+19,0.00017866092020488064,6353030562983.983,830692.0,410896,506941509,420928,217148.039241,824043.25708089
2019-05-04,5769.20263671875,5886.8935546875,5645.46923828125,5831.16748046875,5831.16748046875,17567780766,17682462.5,103109400149.02458,1184826.457746479,5.057613429221936e+19,0.00019877884099684867,6702169884349.173,721892.0,369004,507310513,366194,217316.284598,720737.39382516
2019-05-05,5831.068359375,5833.86279296875,5708.03515625,5795.70849609375,5795.70849609375,14808830723,17684037.5,102491525202.09996,1203493.357142857,4.917132090619579e+19,0.0001894305675720252,6702169884349.173,637724.0,340215,507650728,339534,217467.924761,654723.6879151
2019-05-06,5791.693359375,5802.95751953125,5653.6875,5746.80712890625,5746.80712890625,15737171804,17685787.5,101636807466.17474,1217081.9857142856,4.844797885453637e+19,0.0001891352577956341,6702169884349.173,672428.0,332151,507982879,339998,217638.316239,694177.25791148
2019-05-07,5745.59912109375,5988.17822265625,5741.39599609375,5829.50146484375,5829.50146484375,18026409033,17687575.0,103109745281.81622,1252790.9510489511,4.918708025779489e+19,0.0002490915567555744,6702169884349.173,818971.0,425404,508408283,365735,217817.465345,791662.14499104
2019-05-08,5849.4814453125,5989.98095703125,5794.7158203125,5982.45751953125,5982.45751953125,15320605300,17689337.5,105825706663.417,1244316.560283688,4.793227042338928e+19,0.00029443294773482905,6702169884349.173,789743.0,407984,508816267,365138,217992.91398,881085.88860503
2019-05-09,5982.31640625,6183.0390625,5982.31640625,6174.52880859375,6174.52880859375,16784645411,17691062.5,109233972940.8962,1263015.1594202898,4.695495353456407e+19,0.00029623740319694315,6702169884349.173,801069.0,410700,509226967,347019,218167.210072,859517.69204178
2019-05-10,6175.82275390625,6434.61767578125,6161.51904296875,6378.84912109375,6378.84912109375,19419875368,17692837.5,112859938328.71588,1268908.7394366197,4.628317503257273e+19,0.0003331051512250328,6702169884349.173,814201.0,416242,509643209,349909,218347.395113,930912.55069718
2019-05-11,6379.6669921875,7333.0029296875,6375.69873046875,7204.771484375,7204.771484375,28867562329,17694437.5,127484382497.16656,1239469.1015625,4.545421348607137e+19,0.0003787115872195282,6702169884349.173,778096.0,413879,510057088,346247,218506.047158,919718.10051425
2019-05-12,7203.50732421875,7503.8720703125,6815.77099609375,6972.37158203125,6972.37158203125,27773333680,17696262.5,123384916716.94012,1208522.006849315,4.661452208970679e+19,0.0003312474467270195,6702169884349.173,805509.0,392182,510449270,344640,218682.491371,823145.04602349
2019-05-13,6971.17822265625,8047.4130859375,6898.2822265625,7814.9150390625,7814.9150390625,28677672181,17698400.0,138311494112.36014,1218428.8245614036,4.801785924993322e+19,0.0002752445047744681,6702169884349.173,853107.0,403973,510853243,368418,218890.8427,706309.12516193
2019-05-14,7807.88427734375,8268.712890625,7696.39111328125,7994.416015625,7994.416015625,32031452227,17700350.0,141503964012.5187,1224470.5897435895,4.874645614996749e+19,0.000312430799929718,6702169884349.173,894428.0,461573,511314816,381321,219081.860112,1039974.00403408
2019-05-15,7989.37451171875,8216.423828125,7899.10693359375,8205.16796875,8205.16796875,28344112920,17702112.5,145248798075.00085,1248833.304964539,4.8707915321548415e+19,0.0004840633603417406,6702169884349.173,836979.0,424245,511739061,340141,219257.945608,982785.2588287
2019-05-16,8194.5009765625,8320.82421875,7729.6083984375,7884.9091796875,7884.9091796875,33167197581,17704050.0,139594828332.2663,1255385.8451612904,4.948079183253551e+19,0.0006065244948880234,6702169884349.173,942846.0,484290,512223351,394368,219452.530414,1217236.69541094
