Time,BTC full node data size,Price
2011-02-28,85.884818,0.8701
2011-03-01,86.528213,0.92022
2011-03-02,87.412989,0.9399
2011-03-03,88.269038,0.93909
2011-03-04,89.009668,0.9012
2011-03-05,89.671678,0.9103
2011-03-06,90.432419,0.8866299999999999
2011-03-07,91.116901,0.88502
2011-03-08,92.003988,0.8699899999999999
2011-03-09,92.612302,0.86449
2011-03-10,93.120944,0.9329
2011-03-11,93.787767,0.88
2011-03-12,94.629774,0.918
2011-03-13,95.362605,0.89249
2011-03-14,96.23439,0.8949
2011-03-15,97.132417,0.8711200000000001
2011-03-16,98.051606,0.8599899999999999
2011-03-17,98.959982,0.82542
2011-03-18,99.755614,0.81648
2011-03-19,100.710095,0.765
2011-03-20,101.558479,0.7410800000000001
2011-03-21,103.717619,0.75897
2011-03-22,104.480802,0.80901
2011-03-23,105.629666,0.8497100000000001
2011-03-24,106.629429,0.8668799999999999
2011-03-25,107.388924,0.8837700000000001
2011-03-26,108.26316,0.8552
2011-03-27,109.324957,0.8275399999999999
2011-03-28,110.509839,0.79898
2011-03-29,111.530873,0.7925
2011-03-30,112.130658,0.7897
2011-03-31,112.925643,0.78461
2011-04-01,113.572399,0.7741100000000001
2011-04-02,114.229879,0.78199
2011-04-03,114.784409,0.779
2011-04-04,115.596556,0.68
2011-04-05,116.424428,0.71
2011-04-06,117.08337,0.74
2011-04-07,117.747687,0.7538
2011-04-08,118.381232,0.7499899999999999
2011-04-09,119.030151,0.746584
2011-04-10,119.635578,0.7369
2011-04-11,120.390122,0.77
2011-04-12,121.216561,0.86
2011-04-13,122.229464,0.93115
2011-04-14,123.29698,0.99936
2011-04-15,124.230883,0.9869040000000002
2011-04-16,125.261332,1.0499
2011-04-17,126.112998,1.13057
2011-04-18,127.074642,1.16199
2011-04-19,128.356404,1.1965
2011-04-20,129.781581,1.1421
2011-04-21,130.453201,1.208
2011-04-22,131.243417,1.40901
2011-04-23,132.050601,1.665325
2011-04-24,133.16643,1.63011
2011-04-25,134.24829,1.57623
2011-04-26,135.285571,1.7949
2011-04-27,136.936092,1.9
2011-04-28,138.4992,2.2105900000000003
2011-04-29,139.897511,2.88
2011-04-30,141.439483,3.5
2011-05-01,143.362577,3.03311
2011-05-02,144.575147,3.2
2011-05-03,145.738438,3.3975
