Time,BTC average daily block size,Price
2010-02-21,234.39903846153845,null
2010-02-22,373.3794466403162,null
2010-02-23,229.08860759493672,null
2010-02-24,274.59154929577466,null
2010-02-25,218.91836734693877,null
2010-02-26,325.65294117647056,null
2010-02-27,223.6547619047619,null
2010-02-28,289.18562874251495,null
2010-03-01,215.6813186813187,null
2010-03-02,255.00502512562815,null
2010-03-03,224.05263157894737,null
2010-03-04,300.48192771084337,null
2010-03-05,449.9842105263158,null
2010-03-06,276.70786516853934,null
2010-03-07,281.01234567901236,null
2010-03-08,361.8562091503268,null
2010-03-09,289.39864864864865,null
2010-03-10,233.02836879432624,null
2010-03-11,288.472602739726,null
2010-03-12,220.472,null
2010-03-13,244.44444444444446,null
2010-03-14,226.96825396825398,null
2010-03-15,223.31297709923663,null
2010-03-16,219.25,null
2010-03-17,259.5327868852459,null
2010-03-18,224.62820512820514,null
2010-03-19,369.86567164179104,null
2010-03-20,267.5967741935484,null
2010-03-21,237.1086956521739,null
2010-03-22,248.23563218390805,null
2010-03-23,258.995,null
2010-03-24,234.07734806629836,null
2010-03-25,241.42391304347825,null
2010-03-26,431.35175879396985,null
2010-03-27,248.49122807017545,null
2010-03-28,236.3025641025641,null
2010-03-29,234.20942408376965,null
2010-03-30,248.22222222222223,null
2010-03-31,229.06603773584905,null
2010-04-01,229.44736842105263,null
2010-04-02,244.70068027210885,null
2010-04-03,233.14285714285714,null
2010-04-04,251.49056603773585,null
2010-04-05,277.2060606060606,null
2010-04-06,378.16107382550337,null
2010-04-07,284.1216931216931,null
2010-04-08,234.05555555555554,null
2010-04-09,290.2080924855491,null
2010-04-10,440.64159292035396,null
2010-04-11,267.18218623481783,null
2010-04-12,334.7309417040359,null
2010-04-13,290.5263157894737,null
2010-04-14,295.9183673469388,null
2010-04-15,322.6421568627451,null
2010-04-16,666.535,null
2010-04-17,295.14018691588785,null
2010-04-18,330.1937984496124,null
2010-04-19,3964.336363636364,null
2010-04-20,451.6811594202899,null
2010-04-21,272.29245283018867,null
2010-04-22,313.22513089005236,null
2010-04-23,302.59027777777777,null
2010-04-24,384.75333333333333,null
2010-04-25,322.38953488372096,null
2010-04-26,350.1220930232558,null
2010-04-27,316.6363636363636,null
2010-04-28,317.0730337078652,null
2010-04-29,299.73248407643314,null
2010-04-30,275.28387096774196,null
2010-05-01,270.89171974522293,null
2010-05-02,255.30337078651687,null
2010-05-03,309.5740740740741,null
2010-05-04,317.1796875,null
2010-05-05,480.7793103448276,null
2010-05-06,344.51724137931035,null
2010-05-07,439.9280575539568,null
2010-05-08,272.3098591549296,null
2010-05-09,537.6013986013986,null
2010-05-10,303.77241379310345,null
2010-05-11,317.3805309734513,null
2010-05-12,300.491935483871,null
2010-05-13,375.495867768595,null
2010-05-14,341.144,null
2010-05-15,3379.9716981132074,null
2010-05-16,306.30927835051546,null
2010-05-17,334.15328467153284,null
2010-05-18,309.3690476190476,null
2010-05-19,368.50955414012736,null
2010-05-20,299.32804232804233,null
2010-05-21,293.1016042780749,null
2010-05-22,333.42245989304814,null
2010-05-23,472.6244131455399,null
2010-05-24,342.4921465968586,null
2010-05-25,307.353488372093,null
2010-05-26,317.47222222222223,null
