Time,LTC average daily block size,Price
2014-01-07,0.01090889,29.24417877
2014-01-08,0.00924925,22.84491348
2014-01-09,0.00840045,24.48677635
2014-01-10,0.00770208,24.45240784
2014-01-11,0.00982253,24.9874897
2014-01-12,0.00833220,27.05463219
2014-01-13,0.00823899,25.13475227
2014-01-14,0.00930299,24.28329659
2014-01-15,0.00878925,24.10216141
2014-01-16,0.00913491,25.26671791
2014-01-17,0.00798217,24.4004879
2014-01-18,0.00695364,23.81292343
2014-01-19,0.00818770,24.56005478
2014-01-20,0.01162190,25.42716026
2014-01-21,0.01329610,25.20245743
2014-01-22,0.01565853,24.8455658
2014-01-23,0.01465381,23.64751625
2014-01-24,0.01337382,22.29607773
2014-01-25,0.01064908,20.70223999
2014-01-26,0.01256497,23.203022
2014-01-27,0.01545205,24.13188744
2014-01-28,0.01084483,20.12451935
2014-01-29,0.00734866,21.42344284
2014-01-30,0.00827614,21.91431046
2014-01-31,0.00981881,21.64747429
2014-02-01,0.01093845,22.09902954
2014-02-02,0.01044281,22.5049572
2014-02-03,0.00984923,22.37377167
2014-02-04,0.01035189,21.89580727
2014-02-05,0.00888902,21.52528
2014-02-06,0.00948213,20.85820961
2014-02-07,0.01239351,19.90085983
2014-02-08,0.01100929,18.53008842
2014-02-09,0.01338431,18.02235031
2014-02-10,0.01547713,18.29627991
2014-02-11,0.01478912,17.7591095
2014-02-12,0.01232063,17.40956879
2014-02-13,0.01064965,16.92671585
2014-02-14,0.01101337,15.36582565
2014-02-15,0.00830808,16.45173836
2014-02-16,0.00753043,16.0914669
2014-02-17,0.00849221,15.1361475
2014-02-18,0.00996897,15.47172737
2014-02-19,0.01011936,15.5575037
2014-02-20,0.01041514,15.70151424
2014-02-21,0.01009560,13.98104382
2014-02-22,0.00830447,13.91518021
2014-02-23,0.00966427,14.983325
2014-02-24,0.00850922,15.41858673
2014-02-25,0.01344496,14.49923897
2014-02-26,0.01333759,13.80181503
2014-02-27,0.01051849,14.25644875
2014-02-28,0.00951823,14.28622437
2014-03-01,0.01055983,13.22712803
2014-03-02,0.01191859,13.65520573
2014-03-03,0.01866865,12.77824688
2014-03-04,0.02392719,14.28829479
2014-03-05,0.01233268,16.99282265
2014-03-06,0.00904371,16.37731361
